PairKey,FramesTogether,TimeTogether_s,Class1,Class2
Pterophyllum_Scalare_Y_Pterophyllum_Scalare_YWB,447,44.7,Pterophyllum_Scalare_Y,Pterophyllum_Scalare_YWB
Pterophyllum_Scalare_W_Pterophyllum_Scalare_Y,2503,250.3,Pterophyllum_Scalare_W,Pterophyllum_Scalare_Y
Pterophyllum_Scalare_BB_Pterophyllum_Scalare_Y,491,49.1,Pterophyllum_Scalare_BB,Pterophyllum_Scalare_Y
Pterophyllum_Scalare_B_Pterophyllum_Scalare_YWB,249,24.9,Pterophyllum_Scalare_B,Pterophyllum_Scalare_YWB
Pterophyllum_Scalare_BB_Pterophyllum_Scalare_YWB,3862,386.2,Pterophyllum_Scalare_BB,Pterophyllum_Scalare_YWB
Pterophyllum_Scalare_B_Pterophyllum_Scalare_BB,10,1.0,Pterophyllum_Scalare_B,Pterophyllum_Scalare_BB
Pterophyllum_Scalare_BB_Pterophyllum_Scalare_W,750,75.0,Pterophyllum_Scalare_BB,Pterophyllum_Scalare_W
Pterophyllum_Scalare_B_Pterophyllum_Scalare_W,621,62.1,Pterophyllum_Scalare_B,Pterophyllum_Scalare_W
Pterophyllum_Scalare_W_Pterophyllum_Scalare_YWB,255,25.5,Pterophyllum_Scalare_W,Pterophyllum_Scalare_YWB
Pterophyllum_Scalare_B_Pterophyllum_Scalare_Y,682,68.2,Pterophyllum_Scalare_B,Pterophyllum_Scalare_Y
