PairKey,FramesTogether,TimeTogether_s,Class1,Class2
Pterophyllum_Scalare_W_Pterophyllum_Scalare_Y,543,54.3,Pterophyllum_Scalare_W,Pterophyllum_Scalare_Y
Pterophyllum_Scalare_BB_Pterophyllum_Scalare_W,94,9.4,Pterophyllum_Scalare_BB,Pterophyllum_Scalare_W
Pterophyllum_Scalare_BB_Pterophyllum_Scalare_YWB,473,47.3,Pterophyllum_Scalare_BB,Pterophyllum_Scalare_YWB
Pterophyllum_Scalare_Y_Pterophyllum_Scalare_YWB,332,33.2,Pterophyllum_Scalare_Y,Pterophyllum_Scalare_YWB
Pterophyllum_Scalare_W_Pterophyllum_Scalare_YWB,20,2.0,Pterophyllum_Scalare_W,Pterophyllum_Scalare_YWB
Pterophyllum_Scalare_B_Pterophyllum_Scalare_Y,4,0.4,Pterophyllum_Scalare_B,Pterophyllum_Scalare_Y
Pterophyllum_Scalare_B_Pterophyllum_Scalare_YWB,49,4.9,Pterophyllum_Scalare_B,Pterophyllum_Scalare_YWB
Pterophyllum_Scalare_BB_Pterophyllum_Scalare_Y,138,13.8,Pterophyllum_Scalare_BB,Pterophyllum_Scalare_Y
Pterophyllum_Scalare_B_Pterophyllum_Scalare_W,16,1.6,Pterophyllum_Scalare_B,Pterophyllum_Scalare_W
